EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
10,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14120.37037,0.00,0.00,0.00,0.00,0.02135,0.02135,0.00,0.00,0.81732
12,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10277.77778,0.00,0.00,0.00,0.00,0.02948,0.02948,0.00,0.00,0.99099
15,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11870.37037,0.00,0.00,0.00,0.00,0.02932,0.02932,0.00,0.00,0.98779
17,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15407.40741,0.00,0.00,0.00,0.00,0.01861,0.01861,0.00,0.00,0.71044
29,20388.00,35144.00,252342.00,737701.00,20394.00,4872.00,1164778.00,7149472.00,2.21463E+07,46368.00,15231.00,31137.00,66959.00,3755.00,13046.2963,0.8231,0.00,0.00,0.8231,0.78234,0.50619,0.15309,0.11916,0.78472
33,3349.00,5702.00,41647.00,120672.00,3355.00,825.00,197834.00,1140192.00,3515552.00,7352.00,2124.00,5228.00,10662.00,616.00,8509.25926,0.7375,0.00,0.00,0.7375,0.91,0.59479,0.12057,0.10645,0.91845
37,563.00,514.00,6773.00,19807.00,563.00,54.00,31422.00,197120.00,601888.00,456.00,114.00,342.00,2843.00,109.00,8537.03704,0.63458,0.00,0.00,0.63458,0.88453,0.70503,0.03697,0.03095,0.92053
41,1465.00,2789.00,18109.00,53043.00,1465.00,378.00,88593.00,510592.00,1574560.00,3468.00,924.00,2544.00,4554.00,267.00,9148.14815,0.7895,0.00,0.00,0.7895,0.84556,0.57242,0.10524,0.08312,0.86469
45,13343.00,52811.00,173453.00,495905.00,13343.00,6669.00,864502.00,4983072.00,1.56587E+07,70164.00,68780.00,1384.00,24.00,2224.00,12824.07407,0.98804,0.00,0.00,0.98804,0.95757,0.65819,0.15783,0.1517,0.9915
51,32845.00,111746.00,394295.00,1225338.00,32863.00,20142.00,1998975.00,1.11165E+07,3.64990E+07,98708.00,47687.00,51021.00,56795.00,5173.00,16287.03704,0.93621,0.00,0.00,0.93621,0.91784,0.58726,0.10738,0.09648,0.91915
