EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
10,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14018.51852,0.00,0.00,0.00,0.00,0.02069,0.02069,0.00,0.00,0.87241
12,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11212.96296,0.00,0.00,0.00,0.00,0.02754,0.02754,0.00,0.00,0.97628
15,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16972.22222,0.00,0.00,0.00,0.00,0.02421,0.02421,0.00,0.00,0.93477
17,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16750.00,0.00,0.00,0.00,0.00,0.02118,0.02118,0.00,0.00,0.87941
30,18998.00,8971.00,136976.00,398453.00,19045.00,2002.00,605475.00,3886528.00,1.15943E+07,2636.00,660.00,1976.00,56795.00,2229.00,12787.03704,0.74709,0.19362,0.18955,0.74709,0.79137,0.7013,0.05019,0.03327,0.80566
34,9065.00,428.00,76431.00,281500.00,9065.00,97.00,391042.00,2306944.00,8765248.00,1576.00,407.00,1169.00,56795.00,1907.00,8962.96296,0.90827,0.00,0.00,0.90827,0.94544,0.88268,0.00061,0.00059,0.99827
39,29722.00,15053.00,185592.00,553532.00,29848.00,3760.00,839522.00,4936512.00,1.54498E+07,3364.00,844.00,2520.00,56795.00,2000.00,14925.92593,0.74406,0.21213,0.21094,0.74406,0.9355,0.81806,0.09571,0.07657,0.97594
43,31297.00,16500.00,190596.00,567712.00,31045.00,3914.00,860989.00,5050336.00,1.57749E+07,3816.00,965.00,2851.00,56795.00,2018.00,14870.37037,0.74802,0.21119,0.20354,0.74802,0.92955,0.80032,0.10158,0.0775,0.96876
48,26047.00,19454.00,168972.00,489206.00,26110.00,4009.00,783041.00,4529152.00,1.36536E+07,4496.00,1134.00,3362.00,56795.00,2026.00,12944.44444,0.77611,0.20182,0.2114,0.77611,0.93881,0.82482,0.09692,0.08085,0.98081
53,35014.00,23067.00,208328.00,654689.00,34762.00,5240.00,997690.00,5430592.00,1.75462E+07,5184.00,1323.00,3861.00,56795.00,2087.00,15101.85185,0.78157,0.21932,0.22107,0.78157,0.9452,0.78804,0.09846,0.08335,0.98204
57,40180.00,41579.00,246931.00,710544.00,40432.00,11496.00,1125818.00,6094368.00,1.90017E+07,7388.00,1933.00,5455.00,56795.00,2161.00,22009.25926,0.77732,0.14117,0.1401,0.77732,0.91265,0.73609,0.17355,0.12128,0.94403
60,36589.00,32684.00,223649.00,654376.00,36337.00,8633.00,1033758.00,5707456.00,1.78131E+07,5996.00,1532.00,4464.00,56795.00,2097.00,21453.7037,0.80934,0.1511,0.15112,0.80934,0.92595,0.7563,0.1333,0.09163,0.96016
64,44779.00,49170.00,262547.00,775987.00,45283.00,12801.00,1221060.00,6524224.00,2.05023E+07,9024.00,2389.00,6635.00,56795.00,2235.00,22611.11111,0.79395,0.14367,0.14265,0.79395,0.92458,0.73449,0.18471,0.14353,0.95408
68,50701.00,55338.00,284778.00,850572.00,50701.00,13192.00,1348854.00,7045600.00,2.22029E+07,11132.00,3052.00,8080.00,56795.00,2326.00,21805.55556,0.76608,0.15404,0.15207,0.76608,0.92675,0.72588,0.21322,0.17097,0.9537
74,6538.00,12290.00,28436.00,76446.00,6475.00,1836.00,136032.00,752480.00,2235424.00,2928.00,1959.00,969.00,198.00,108.00,11250.00,0.78784,0.09623,0.09632,0.78784,0.61125,0.52987,0.62097,0.27869,0.63766
76,4396.00,7528.00,18916.00,49374.00,4333.00,1260.00,95238.00,463232.00,1380544.00,1784.00,1066.00,718.00,198.00,73.00,10462.96296,0.75351,0.10633,0.09974,0.75351,0.64741,0.55888,0.54911,0.22063,0.67729
78,3199.00,5602.00,14020.00,39598.00,3136.00,936.00,71619.00,345728.00,1028224.00,1320.00,738.00,582.00,198.00,59.00,10592.59259,0.7797,0.11174,0.11793,0.7797,0.71277,0.61539,0.43975,0.21394,0.75212
81,2100.00,3712.00,9700.00,25350.00,2100.00,630.00,46844.00,223264.00,664352.00,864.00,515.00,349.00,78.00,36.00,11425.92593,0.80222,0.10619,0.10887,0.80222,0.74019,0.66025,0.39811,0.20929,0.7934
84,11767.00,22939.00,51828.00,143374.00,11578.00,3294.00,243659.00,1408192.00,4194816.00,5520.00,4062.00,1458.00,198.00,195.00,11018.51852,0.78449,0.09037,0.09128,0.78449,0.59955,0.54155,0.76082,0.37379,0.61352
86,19012.00,37604.00,82292.00,226094.00,18823.00,5418.00,391181.00,2304864.00,6853344.00,9064.00,6667.00,2397.00,198.00,305.00,12425.92593,0.7769,0.09073,0.09009,0.7769,0.48248,0.43619,0.8322,0.32552,0.49135
89,2100.00,3601.00,9428.00,23846.00,1974.00,594.00,41585.00,220256.00,654656.00,836.00,486.00,350.00,78.00,34.00,10777.77778,0.79352,0.10291,0.10814,0.79352,0.73787,0.6624,0.40234,0.21214,0.79212
