EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
581,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12370.37037,0.00,0.00,0.00,0.00,0.02844,0.02844,0.00,0.00,0.97156
585,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10981.48148,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
589,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10935.18519,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
593,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10990.74074,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
597,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12259.25926,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
601,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11027.77778,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
605,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10972.22222,0.00,0.00,0.00,0.00,0.0285,0.0285,0.00,0.00,0.97387
609,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11027.77778,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
613,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12120.37037,0.00,0.00,0.00,0.00,0.02844,0.02844,0.00,0.00,0.97156
617,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10990.74074,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
621,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10981.48148,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
625,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11027.77778,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
629,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11703.7037,0.00,0.00,0.00,0.00,0.0285,0.0285,0.00,0.00,0.97466
633,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9564.81481,0.00,0.00,0.00,0.00,0.02844,0.02844,0.00,0.00,0.97235
637,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10972.22222,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
641,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10953.7037,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
645,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12092.59259,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
649,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10981.48148,0.00,0.00,0.00,0.00,0.02853,0.02853,0.00,0.00,0.97464
653,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10750.00,0.00,0.00,0.00,0.00,0.0291,0.0291,0.00,0.00,0.98626
657,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11462.96296,0.00,0.00,0.00,0.00,0.02817,0.02817,0.00,0.00,0.97496
