EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_hit_rate_realtime.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
21,5004.00,3662.00,9733.00,57239.00,5004.00,941.00,89188.00,290272.00,1709472.00,26196.00,9862.00,16334.00,20916.00,1595.00,0.80003,0.00,0.00,0.80003,0.7415,0.71078,0.06903,0.71609
31,969.00,1041.00,2217.00,13731.00,969.00,271.00,22847.00,64192.00,389824.00,7016.00,2345.00,4671.00,4023.00,398.00,0.7285,0.00,0.00,0.7285,0.85283,0.80552,0.04754,0.82232
40,1337.00,1253.00,2978.00,17684.00,1337.00,334.00,28859.00,86048.00,512704.00,8676.00,3350.00,5326.00,5698.00,498.00,0.7279,0.00,0.00,0.7279,0.83583,0.80232,0.05769,0.81612
49,11389.00,21654.00,38980.00,261952.00,11389.00,6418.00,396264.00,1073536.00,7144864.00,166932.00,90461.00,76471.00,45130.00,7738.00,0.80218,0.00,0.00,0.80218,0.87238,0.865,0.11835,0.86627
58,1046.00,2385.00,3795.00,25924.00,1046.00,648.00,41528.00,109056.00,726464.00,17584.00,9094.00,8490.00,4262.00,776.00,0.73846,0.00,0.00,0.73846,0.80346,0.76016,0.14357,0.77278
67,383.00,114326.00,118669.00,917103.00,383.00,29557.00,1392325.00,3646080.00,2.77626E+07,908132.00,856287.00,51845.00,1516.00,29551.00,0.84246,0.00,0.00,0.84246,0.93103,0.92882,0.52907,0.92988
76,1938.00,31399.00,36256.00,275469.00,1938.00,8468.00,414381.00,1058016.00,8241696.00,246508.00,196293.00,50215.00,8038.00,8674.00,0.82646,0.00,0.00,0.82646,0.8714,0.87482,0.28742,0.8771
85,1072.00,8900.00,10660.00,78839.00,1072.00,2344.00,121501.00,316800.00,2333472.00,69240.00,54776.00,14464.00,4380.00,2471.00,0.73873,0.00,0.00,0.73873,0.67104,0.66279,0.21538,0.66847
94,4630.00,27479.00,35018.00,253790.00,4630.00,7341.00,383755.00,1039968.00,7539232.00,215992.00,170761.00,45231.00,19578.00,7967.00,0.82023,0.00,0.00,0.82023,0.82354,0.82385,0.22274,0.82672
103,3101.00,3506.00,7397.00,46341.00,3101.00,928.00,72236.00,223968.00,1396640.00,26532.00,18718.00,7814.00,13059.00,1326.00,0.74496,0.00,0.00,0.74496,0.67859,0.65333,0.11615,0.66555
112,345.00,5198.00,5733.00,43816.00,345.00,1346.00,67659.00,172512.00,1302656.00,40040.00,33659.00,6381.00,1389.00,1367.00,0.73181,0.00,0.00,0.73181,0.60846,0.59334,0.17895,0.61297
