EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
21,5006.00,9630.00,16021.00,106374.00,5006.00,2510.00,162799.00,479648.00,3160736.00,73588.00,36258.00,37330.00,20916.00,3177.00,661129.62963,0.8113,0.00,0.00,0.8113,0.78039,0.4676,0.15839,0.1301,0.81423
31,969.00,2154.00,3429.00,22845.00,969.00,577.00,37393.00,99040.00,660800.00,15724.00,6932.00,8792.00,4023.00,696.00,101379.62963,0.74771,0.00,0.00,0.74771,0.8103,0.46891,0.15278,0.08218,0.84335
40,1337.00,2706.00,4486.00,29898.00,1337.00,705.00,47771.00,131840.00,867264.00,20100.00,9864.00,10236.00,5698.00,887.00,129314.81481,0.72912,0.00,0.00,0.72912,0.80747,0.50733,0.17285,0.08645,0.82642
49,11389.00,52331.00,73460.00,527653.00,11389.00,14968.00,797238.00,2038432.00,1.45412E+07,408144.00,266902.00,141242.00,45130.00,16469.00,1287157.40741,0.80512,0.00,0.00,0.80512,0.90234,0.55098,0.21743,0.19355,0.90394
58,1046.00,5515.00,7239.00,52429.00,1046.00,1495.00,81640.00,207488.00,1490688.00,42200.00,26739.00,15461.00,4262.00,1630.00,208407.40741,0.76,0.00,0.00,0.76,0.82913,0.47877,0.26066,0.20097,0.83745
67,383.00,375617.00,384729.00,2978014.00,383.00,96043.00,4521875.00,1.19836E+07,9.29129E+07,2992496.00,2889124.00,103372.00,1516.00,96167.00,82907.40741,0.81201,0.00,0.00,0.81201,0.87049,0.63085,0.68793,0.584,0.87091
76,1940.00,101783.00,110520.00,850271.00,1940.00,27063.00,1290745.00,3290336.00,2.52861E+07,804520.00,705704.00,98816.00,8038.00,27327.00,265083.33333,0.81559,0.00,0.00,0.81559,0.81088,0.55248,0.49099,0.39633,0.81186
85,1072.00,23708.00,25968.00,197538.00,1072.00,6173.00,302204.00,787552.00,5973664.00,187020.00,161748.00,25272.00,4380.00,6315.00,186629.62963,0.74348,0.00,0.00,0.74348,0.58714,0.38146,0.50914,0.26363,0.58993
94,4630.00,74027.00,84218.00,635586.00,4630.00,19544.00,967835.00,2518336.00,1.89971E+07,585452.00,504101.00,81351.00,19578.00,20241.00,565416.66667,0.80833,0.00,0.00,0.80833,0.78146,0.51315,0.42096,0.3218,0.78268
103,3101.00,10386.00,14637.00,102203.00,3101.00,2722.00,158569.00,441760.00,3107712.00,81116.00,63059.00,18057.00,13059.00,3123.00,563351.85185,0.75166,0.00,0.00,0.75166,0.69274,0.42927,0.32061,0.20648,0.69729
