EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
26,143.00,692.00,822.00,677.00,143.00,0.00,2315.00,10336.00,10656.00,0.00,0.00,0.00,0.00,18.00,15055.55556,0.15691,0.15691,0.15691,0.15691,0.31455,0.23246,0.04701,0.03918,0.85522
34,592.00,991.00,3218.00,3513.00,592.00,7.00,9221.00,73408.00,74432.00,0.00,0.00,0.00,0.00,8.00,25009.25926,0.91375,0.90992,0.3198,0.91375,0.70261,0.31775,0.0935,0.01522,0.82329
36,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15861.11111,0.00,0.00,0.00,0.00,0.02145,0.02145,0.00,0.00,0.88498
44,545.00,991.00,2987.00,3260.00,545.00,7.00,8570.00,73440.00,74464.00,0.00,0.00,0.00,0.00,8.00,23981.48148,0.92262,0.91862,0.32597,0.92262,0.87256,0.41884,0.08323,0.08275,0.98722
46,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16148.14815,0.00,0.00,0.00,0.00,0.02128,0.02128,0.00,0.00,0.87648
54,544.00,991.00,2985.00,3259.00,544.00,7.00,8558.00,73088.00,74176.00,0.00,0.00,0.00,0.00,8.00,19870.37037,0.90453,0.90075,0.31544,0.90453,0.85973,0.47515,0.1006,0.1009,0.97976
60,99.00,966.00,612.00,35.00,99.00,0.00,975.00,16960.00,992.00,0.00,0.00,0.00,0.00,8.00,12611.11111,0.65256,0.65256,0.34475,0.65256,0.67012,0.38915,0.18713,0.18713,0.93886
62,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16157.40741,0.00,0.00,0.00,0.00,0.02128,0.02128,0.00,0.00,0.87766
70,592.00,991.00,3218.00,3513.00,592.00,7.00,9210.00,73344.00,74368.00,0.00,0.00,0.00,0.00,8.00,19537.03704,0.90956,0.90569,0.31988,0.90956,0.79345,0.44383,0.10761,0.02398,0.91829
72,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15907.40741,0.00,0.00,0.00,0.00,0.0214,0.0214,0.00,0.00,0.88169
80,545.00,991.00,2987.00,3260.00,545.00,7.00,8570.00,73344.00,74400.00,0.00,0.00,0.00,0.00,8.00,20583.33333,0.92156,0.91755,0.32517,0.92156,0.88456,0.4221,0.08419,0.08419,0.99961
82,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15888.88889,0.00,0.00,0.00,0.00,0.02144,0.02144,0.00,0.00,0.88386
90,544.00,991.00,2985.00,3259.00,544.00,7.00,8558.00,73152.00,74272.00,0.00,0.00,0.00,0.00,8.00,18481.48148,0.91453,0.91068,0.32006,0.91453,0.88075,0.48467,0.09759,0.10413,1.00163
96,99.00,966.00,612.00,35.00,99.00,0.00,975.00,16992.00,960.00,0.00,0.00,0.00,0.00,8.00,11231.48148,0.65306,0.65306,0.34501,0.65306,0.7333,0.44929,0.18738,0.18738,1.00426
98,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18935.18519,0.00,0.00,0.00,0.00,0.02174,0.02174,0.00,0.00,0.96135
100,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13018.51852,0.00,0.00,0.00,0.00,0.02784,0.02784,0.00,0.00,0.98608
102,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15416.66667,0.00,0.00,0.00,0.00,0.022,0.022,0.00,0.00,0.89181
104,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16407.40741,0.00,0.00,0.00,0.00,0.02177,0.02177,0.00,0.00,0.88452
106,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16611.11111,0.00,0.00,0.00,0.00,0.02191,0.02191,0.00,0.00,0.88801
108,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16435.18519,0.00,0.00,0.00,0.00,0.02187,0.02187,0.00,0.00,0.88578
110,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16259.25926,0.00,0.00,0.00,0.00,0.02195,0.02195,0.00,0.00,0.88902
112,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16537.03704,0.00,0.00,0.00,0.00,0.02192,0.02192,0.00,0.00,0.88916
124,1559.00,484.00,19444.00,86442.00,1559.00,0.00,114757.00,426496.00,2735744.00,0.00,0.00,0.00,20971.00,892.00,7944.44444,0.00,0.00,0.00,0.00,0.51328,0.4443,0.00,0.00523,0.5387
128,1684.00,162.00,15998.00,106092.00,1684.00,0.00,132873.00,509472.00,3378144.00,0.00,0.00,0.00,26815.00,842.00,6027.77778,0.00,0.00,0.00,0.00,0.58682,0.52549,0.00,0.00,0.60113
132,818.00,142.00,7771.00,51534.00,818.00,0.00,67505.00,243744.00,1616704.00,0.00,0.00,0.00,12824.00,409.00,5694.44444,0.00,0.00,0.00,0.00,0.63057,0.58152,0.00,0.00,0.65741
136,500.00,142.00,4750.00,31500.00,500.00,0.00,42306.00,150016.00,995456.00,0.00,0.00,0.00,7900.00,250.00,6731.48148,0.00,0.00,0.00,0.00,0.743,0.43679,0.00,0.00,0.76508
140,1250.00,142.00,11875.00,78750.00,1250.00,0.00,99487.00,373536.00,2477824.00,0.00,0.00,0.00,19676.00,625.00,5833.33333,0.00,0.00,0.00,0.00,0.61701,0.51714,0.00,0.00,0.63353
144,1276.00,142.00,12122.00,80388.00,1276.00,0.00,101776.00,359776.00,2382624.00,0.00,0.00,0.00,18927.00,638.00,5824.07407,0.00,0.00,0.00,0.00,0.59476,0.4708,0.00,0.00,0.61045
